battle_id,timestamp,preset_id,enemy_comp,player_class,player_count,turn_count,outcome,damage_dealt,damage_taken,mana_avg,cards_played,items_used,difficulty_score,notes
battle_-235443,2026-05-20T15:33:26Z,Sweep_Normal_Lv1_BattleMaid_ridge-two,BattleMaid,Cleric,1,3,WIN,95,12,2.8,13,0,3,[ridge-two Play 1] ridge-two 完美控制节奏。Chant 蓄力 T2 爆发直击。
battle_-250939,2026-05-20T15:33:26Z,Sweep_Normal_Lv1_BattleMaid_ridge-two,BattleMaid,Cleric,1,4,WIN,105,18,2.6,14,0,5,[ridge-two Play 2] 穩定防護，T4 用雷霆打擊收尾，物理輸出順暢。
battle_-527388,2026-05-20T15:33:26Z,Sweep_Normal_Lv1_BattleMaid_ridge-two,BattleMaid,Cleric,1,3,WIN,92,5,2.9,10,0,2,[ridge-two Play 3] 護盾未破，無傷邊緣通關，Cleric 基礎卡牌防禦值過高。
battle_-269295,2026-05-20T15:33:26Z,Sweep_Normal_Lv1_BattleMaid_ridge-two,BattleMaid,Cleric,1,4,WIN,98,15,2.7,9,0,5,[ridge-two Play 4] 正常運轉，多重聖彈釋放順利。
battle_-233885,2026-05-20T15:33:26Z,Sweep_Normal_Lv1_BattleMaid_ridge-two,BattleMaid,Cleric,1,3,WIN,100,8,2.8,8,0,4,[ridge-two Play 5] 爆擊終結，0 error。
battle_-969605,2026-05-20T15:33:26Z,Sweep_Cave_Normal_Lv1_SnowWoman_gura,SnowWoman,Mage,1,6,WIN,110,28,2.5,13,0,3,[gura Play 1] gura 使用了奇葩的『飛魚狂暴』卡組，雖然手忙腳亂但贏了！Aya!
battle_-300453,2026-05-20T15:33:26Z,Sweep_Cave_Normal_Lv1_SnowWoman_gura,SnowWoman,Mage,1,5,WIN,115,35,2.4,8,0,4,[gura Play 2] 法術吟唱被打斷一次，不過第二輪隕石術直接糊臉通關。
battle_-946382,2026-05-20T15:33:26Z,Sweep_Cave_Normal_Lv1_SnowWoman_gura,SnowWoman,Mage,1,7,LOSE,85,48,2.7,15,0,3,[gura Play 3] 鯊魚失憶，忘記給護盾，被雪女冰凍連擊直接抬走！
battle_-256830,2026-05-20T15:33:26Z,Sweep_Cave_Normal_Lv1_SnowWoman_gura,SnowWoman,Mage,1,6,WIN,108,22,2.6,16,0,3,[gura Play 4] 冰凍減速效果被狂暴戰吼意外免疫，順利反殺。
battle_-999701,2026-05-20T15:33:26Z,Sweep_Cave_Normal_Lv1_SnowWoman_gura,SnowWoman,Mage,1,5,WIN,112,15,2.5,8,0,4,[gura Play 5] 三連飛魚突襲！gura 在酒館大喊 Shaaaaark 順利過關。
